id,sentiment
"12311_10",0.997773546004042
"8348_2",0.005695300664137714
"5828_4",0.5495921592975204
"7186_2",0.8375977736973919
"12128_7",0.9771546001401754
"2913_8",0.7578608582720671
"4396_1",0.00444816556430004
"395_2",0.15560481304524487
"10616_1",3.912281572892114e-05
"9074_9",0.4077302714615779
"9252_3",0.015455006499218417
"9896_9",0.8421738927078187
"574_4",0.5239737444730153
"11182_8",0.6714139702587705
"11656_4",0.37584766830289595
"2322_4",0.7112803214873076
"8703_1",0.04889469453141
"7483_1",0.03168820122962446
"6007_10",0.9679831735027742
"12424_4",0.004742296355615582
"4672_1",0.0011431844460622165
"10841_3",0.008905899395988362
"8954_7",0.5242184683369149
"7392_1",0.016795233028743695
"10288_8",0.9367136084686383
"5343_4",0.009352811570075815
"4950_1",0.0004203904215568547
"9257_4",0.6736485898459178
"8689_3",0.03167988014318293
"4480_2",0.19143723689738198
"9286_10",0.9907334019345613
"12245_10",0.9996327626856074
"7529_7",0.8378816421368503
"4_4",0.13054800717705903
"5299_2",0.002379228501886237
"12077_8",0.7528105044385941
"10701_2",0.0015535528188820615
"11579_1",0.005531396777686425
"10993_1",0.011399171183482352
"8913_1",0.04189419885699746
"1350_3",0.07411170308057828
"3804_2",0.0036150229842298815
"5025_3",0.13503287016552779
"5170_8",0.20048142092515944
"8225_8",0.9816215967502894
"6427_7",0.9484123236191943
"3165_3",0.4604471464815228
"7902_9",0.9982567667370432
"8208_3",0.0011301146161399734
"3577_8",0.9605739157075124
"4865_1",0.022526270802765605
"9063_3",0.10914547370628984
"1106_1",0.3118699845999847
"1117_9",0.9918409400060886
"1050_4",0.2833239981771731
"10755_9",0.7877323497538595
"2729_8",0.9002984310233312
"10072_10",0.9914449367671653
"2904_7",0.9845158995444893
"4584_2",0.5716405136391783
"189_4",0.42855464806975213
"6302_4",0.0762877174520187
"8138_9",0.9332112256282898
"1262_1",0.031871372171590306
"2199_10",0.9889192474694772
"6551_7",0.9144882386084668
"8082_7",0.30265377427016027
"4897_8",0.9927071114905343
"7360_1",0.00620893031925017
"11012_10",0.9734880529306922
"12046_1",0.3007293734129436
"2331_2",0.33156083426735494
"8961_9",0.9757411650109417
"751_7",0.42520613998548545
"9884_10",0.959308067891144
"10016_8",0.9551226688978802
"8023_10",0.9553511849078774
"2628_1",0.002363423558185335
"5832_1",0.006701043330272113
"7302_1",0.02046071714986852
"4501_3",0.32204588192019423
"1121_7",0.599162075050587
"8334_3",0.3772098308877459
"9789_10",0.6131839943454958
"4230_10",0.9335950313625389
"824_4",0.07836546575996034
"6803_9",0.7446913695705664
"3086_7",0.9808982730283288
"1135_8",0.9887307285829005
"10136_1",0.0036492586290113793
"11129_3",0.0023334459779156876
"2072_8",0.681560840505793
"9501_7",0.9768348193179551
"319_10",0.9717891310012642
"1693_7",0.9851351522671917
"10886_1",0.00036092579717052865
"9406_8",0.8324136897173973
"10376_10",0.5287162025208245
"9902_1",0.004354021447901333
"9938_8",0.2911656838321822
"7080_9",0.7689425202291541
"11944_8",0.7316262495532946
"5249_1",0.004543163453479384
"9599_2",0.19778779957894027
"9620_1",0.05274153553950695
"11244_1",0.005660562180438786
"6841_10",0.9900623775345032
"10050_4",0.808427434255209
"10512_9",0.9425238897838852
"11327_3",0.001979639172457379
"10681_8",0.9588277055833319
"808_3",0.1809281948434072
"546_7",0.997425853475706
"10765_1",8.19110963101862e-05
"7189_9",0.74894708378903
"6005_9",0.9682953178916726
"11915_9",0.9149467973649758
"5740_10",0.9528290415061857
"7097_10",0.25162785883308314
"9573_10",0.6711975707070362
"5084_4",0.5336672828769301
"12332_7",0.6190132091018917
"8154_1",0.012171310040905221
"5610_1",0.053134614088192395
"5323_9",0.9124407121131092
"11034_8",0.9082635304916002
"3977_2",0.08457477781450472
"12380_7",0.19306524133397848
"1737_8",0.689900943993187
